,text,DA
112833,"{E I mean, } just to take off what was broken.  /Plus, we went with a friend,  /{C and } they said {D you know, } - /{C and then } the whole ice storm cost us quite a bit of money, even though insurance picked up some of it,",%
112835,"# still, # not all of it.  /They don't get, {D you know, } -/",%
112837,"# {C and } # that, - /plus - /{C and then } we had a car expense {D like } that same week.  /One of the cars died, {D you know. }  /All of this adds up  /{C and } that  (( for savings )) really comes in handy. /",%
112839,Right. /,B
112843,"{C And } I like that.  /{F Uh, } the only thing you  have to do is cook the rice that goes [ in, + in ] it  /{C and then } [ I, + you're ]  supposed to do chicken,  /{C but } I just use those little cans of chicken. /",S
112845,"{C And } it makes it so much easier,  /{C and so }  you dump the rice,  /you dump the chicken  /{C and then } you put in fruit like pineapple and  mandarin oranges and  grape,  /now grapes are the ones that you  have to pull all that off,  /{C but } I get my kids to do that,  /{C so, } <laughter> -/",S
112852,{F Um. } /,%
112855,Yeah. /,B
112856,"and not be scurrying around in the kitchen,  /{C so, }",%
112858,"a lot of times, we'll barbecue  /like,  {F uh, } for Memorial Day we had some friends over  /{C and } we just bought a brisket and  marinated it overnight in one of those {D like } Adolph's meat marinate,",%
112860,and put it on the smoker and cooked it. /,%
112864,"Yeah,  /yeah. /",B
112865,Yeah. /,B
112866,It really does. /,S
112871,I do spaghetti a lot. /,S
112873,"Yeah,  /I don't like to do that  [ i-, + if ] it's [ ho-, + real hot ] though. /",B
112874,Yeah. /,B
112877,I guess. /,B
112878,"{D Well } I think when you heat your kitchen  up it really makes a big difference,",S
112880,in your whole house. /,%
112883,And something so that we can talk [ and not + --,%
112885,-- and not ] have to worry about being  in the kitchen all the time. /,%
112890,{C And so } it's real easy because you  just make one or two things  /{C and } everybody else brings something. /,S
112897,"[ It just, + {F uh, } I'm just ]  not, - /{D well } [ I'm so, + I'm ]  pretty laid back. /",%
112899,"{C And, } {F uh, } {D you know, } {C so }  [ I don't, + I know ] a lady in [ a, + ]  my church  /{C and, } {F uh, } she {D like } does her own bread and does her own  stuff  /{C and so } when she, {F um, } does food, she really goes all out  /{C and } I don't know  how she can do it and be calm <laughter>. /",S
112909,"Yeah.  /{D Well } I usually start about six  [ [ and, + an, ] + and ] cook and then eat at seven.",B
112910,Yeah. /,B
112911,"{E I mean, } [ co-, + cook ]  at five and eat at six, rather. /",%
112916,Yeah. /,B
112917,"{C And } I like to be able to sit down  after school and have them talk with me [ an, + and ]  my husband about what's happened  /{C and, }",S
112919,"I think [ I, + ]  that was ingrained in me during my family time at home. /",%
112921,"{C And, } {F uh, } {D you know } we could learn  to talk about things  /{C and } I think that's good. /",S
112924,"Right now we eat in front of the T V  /{C but } since it's just the two of us, it's <laughter>, -/",S
112926,Yeah. /,B
112927,"{C But, } {F uh, } sometimes if  something, {F uh, } is on that they want to watch I leave it on,  /{C but } we eat in the kitchen  /{C and } their heads are always poking past the door. /",S
112929,"Yeah.  /{D Anyway } food [ is, + is, ]  {F uh, } a real life-style kind of thing  /{C and } [ i-, + ] some people don't like to do this  /{C but } I like to [ co-, + {F uh, } cook ]  with my kids. /",B
112930,"{F Oh, } uh-huh. /",B
112931,"{C And } if they're going to have other kids  over then, then they help.  /{C And } we make real simple things, {D you know, }   those, {F oh, } - /[ I don-, + I don't ] know if you've ever made them, maybe not since you don't have  kids yet, but those Jell-O, {F uh, } gelatin things you can pick  up with your fingers, I can't think of what they call it. /",S
112934,Uh-huh. /,B
112935,"{C And } the kids love to do that.  /{F Uh, } finger food [ is, + is ] a biggie with them. /",S
112937,"[ {C And, } + {C and } ] {D like, }  now one thing I wish I could find [ a, + a ] better way to do are celery sticks and carrot sticks, because they love to  do that  /{C and } it's just really hard  /{C and } if you have to work with a  knife, I don't like that. /",S
112939,"{C So, } that's, {F uh, } - /they like to eat it,  /{C but } it's a hard one to have [ to, + to ] prepare. /",%
112941,"{C But } they like that with [ the, + the ]  cool ranch dressing that goes along with that. /",S
112943,Yeah. /,B
112944,"[ That's good that, + that's a good ]  way to get kids to eat vegetables too. /",S
112954,that's good. /,%
112959,"we usually have {D like, } {F uh, }  cold cereal or something like that. /",%
112961,"{F Um, } [ during the su-, + during wintertime ]  when they're in school, {F um, } then I try to vary it so that we only eat  that {D like } [ a twice a, + twice a ] week or  something and then have {D like, } when it's  really cold, I even cook oatmeal,",S
112963,"Because I like oatmeal  /{C and } [ the loo-, + ]  they like it all right. /",%
112965,"{C And, } {F um, } {C then } sometimes we  do something,  /it has to be fast because they're on their way to school,  /we do {D like } Eggo  waffles and stuff like that,  /{C but. } -/",S
112967,"Yeah,  /{C so, } I try to, {F uh, } - /{C and }  sometimes we do eggs if I get up early enough to do that.  /I used to do them in the microwave,  /{C but } they don't like that. /",B
112973,"-- then they'll turn a little bit gray.  /You can tell if they've gone to long because they'll turn a little bit gray  /{C and } they will be a little harder,  /{C and } I don't like that. /",%
112975,"{C So } you have to just let it cook a  little bit less than what it says  in, if you have a microwave book,  /{C but } you cook it a little  bit less and then let it sit with [ a, + {D like } a ] plate over the top. /",S
112977,{C And } let it steam. /,S
112979,"[ {C And then, } + {C and then } ] stir it up. /",S
112981,"Yeah,  /[ {C an, } + {C and } ] that turns out okay. /",B
112982,Yeah. /,B
112983,"{C And } it's funny 'cause if I turn  them out [ on to a di-, i-, + on to ] {D like } a plate, for them to take what they want, <child_talking> --",S
112989,"{D you know, }  /{C and } yet if they don't  ever see it, [ th-, + then ] it's like, {F oh } this tastes okay, {D you know, }  /{C so. } -/",%
112991,{D Anyway. } -/,%
112996,"-- so you can get a jury as far as, {F uh, }  they may say they're not biased,  /{C but } deep down they are [ a-, + against ]  this person or  whatever,  /{C so, } {F uh, } I don't think it's such a bad idea to think about.  /{C So, } -/",%
113001,{D Well } <breathing> --,S
113003,"-- [ I, + I ] certainly haven't thought much  about this  /{C but, } -/",%
113009,"-- school or stuff, that [ this, + the ]  juries being involved in the sentencing [ wasn't, + wasn't ] so much.  /{C And } [ I'm, + I'm ] trying to figure out whether [ that's, + ]  I'm remembering wrong or whether that's [  a + ] --",%
113014,"{E I mean, } it's either guilty or not guilty. /",S
113019,"-- too, or whatever.  /I, - /yeah,  /{C but, }  [ I, + {D yeah, }  I ] certainly wouldn't be, {F uh, } {F uh, } worried about that.  /I guess in terms of [ the, + ] {F uh, } {D you know, } [ ha-, + having ]  a judge do it would seem to me to be [ more, + more ] fair [ and + --",%
113023,"-- unbiased.  /{F Uh, } in terms of doing away [ with  the, + with the ] unanimous jury, [ I guess, + I guess ] I, {F uh, } would be a little more leery of that kind of a change [ in, + in ] the trial system.  /[ That, + that's ] just [ a, +  such a ]  tradition [ that it's a, + that it's got ] to be a unanimous --",%
113029,-- two-thirds or three-fourths or whatever. /,%
113031,"{C But, } {F uh, } [ {C and, } + {C and, } ] [ [ I, + I, ] + I ] certainly wouldn't feel comfortable with [ just a, + just a ] bare majority. /",S
113035,Yeah. /,B
113036,-- verdict --,%
113038,"-- {F uh, } simply from a judge in  highly publicized cases versus the small, {F uh, } maybe, you did a crime that  was, {F uh, } burglary or  whatever  /{C and } it goes into the court case or whatever  /{C and } it's not highly publicized.  /{C But } when you get into these highly publicized cases where everybody knows details whether it's through the NATIONAL ENQUIRER --",%
113040,-- or whatever. /,%
113044,"-- [ and, + and ] con their way into, {F uh, }   getting  past the lawyers and getting through that.  /{C But, } {F uh, } also there's  aspect of cost  /{C and } [ I, + I'm ] not quite sure how much cost it  does take for, {F uh, } the judicial system to try and call a jury, whether it's very costly, or if it's something that's not costly or what.  /{D You know, } being that I'm not in [ the, + that ] area I really don't know.  /{C But } I wonder --",%
113046,-- if there is some big expense in trying to call a jury to trial and then having to pay whatever they have to pay if there's something that they have to pay.  /I know companies have to pay for these people to be off from work.  Or --,%
113048,"-- at least give them the time off from work.  /{F Uh, } whether it's, - /I think it's with pay.  /If I remember, jury duty is with pay. /",%
113053,"-- certainly [ [ some, +",%
113058,It's only getting worse exponentially --,S
113060,-- it seems. /,%
113065,"-- in a better condition.  /That, -/",%
113069,"{C So } there's the potential that perhaps,  {D you know, } the U S budget might want to take a look at  it's, {F uh, } federal employees  [ or, +  and ] take a look at saying, {D well, } let's freeze wages.  /{E I mean } everybody's doing it so it isn't --",S
113071,"-- like, {F uh, } private business has  had to do it  /{C so } --",%
113073,"-- it might have to be something that  they might consider doing [ as a shir-, + that's got to be very short ] term. /",%
113075,"{C And } the only other avenue that I can  think of is, {F uh, } looking at where they're spending the money and not so much as saying, {D well, } we're spending too much in that area as perhaps looking at what is costing them the money.  /As --",S
113077,"-- [ for, + for ] instance, I think you  probably remember the military getting caught, {F um, } with toilet seats  that cost them four hundred, five hundred dollars. /",%
113079,"{C And } it was just, -/",%
113083,"-- six dollars or whatever for toilet seats,  /[ {C so. } +",%
113085,"{C So } ] it gives you a-, --",%
113090,"{E I mean } there was, {F um, }  people at Stanford who were soaking the government, {D you know, } using millions of  dollars of research money --",S
113092,"-- [ to, + {F uh, } for ] the President to buy  beach homes or whatever it was. /",%
